UF Code;EIC Code;Short Description;Large Description;Maximum Power Capacity MW;Production Type;BRP Code;UP Code
LAF5;18WLAF5-12345-AF;LAFORTUN 5;LAFORTUNADA-CINQUETA GR.2;20,4;Hydro UGH;GNRA;EBROF
LAFTORE;18W000000000P03D;FLTORRE;FLATORRE;42,0;Solar PV;GESTE;FLTORRE
LAG;18WLAG-123456-AG;LA GOTERA;LA GOTERA;0,5;Hydro UGH;IBEG;DUER
LAGAV01;18W000000000TJDV;LAGAVARRA ;LAGAVARRA VENTA;1,0;Solar PV;CENTS;LAGAV01
LAGOS;18WLAGOS-1234-ER;LAGOS;P.E. SIERRA DE LOS LAGOS;38,9;Wonshore wind;HC G;HCGSCSA
LAGUNAS;18W000000000QXFY;LAGUNAS;PF LAS LAGUNAS;2,1;Solar PV;EGLE;FKALEL
LAHERRE;18W000000000SG2T;LAHERRE;PSFV LA HERRERA;39,0;Solar PV;HC G;HCGFVSA
LAHUESA;18W000000000LV0G;LAHUESA;PE LA HUESA;17,8;Wonshore wind;IBGES;EHIBGES
LAISA;18WLAISA-1234-DI;LAISA;ROQUETTE LAISA ESPAÑA;14,6;Natural Gas Cogeneration;EGLE;TRLE
LAISA1;18W000000000NSEQ;LAISA1;UFI MECANISMO LAISA;4,0;Natural Gas Cogeneration;EGLE;TRLE1
LALBT;18W000000000QXV2;LALBT;LALBT;3,0;Solar PV;GNRA;FVGNRA
LALCON;18WLALCON-1234-H;LALCON;P.E. LA ALCONADA;4,5;Wonshore wind;GNCO;EGASNE0
LALMEND;18WLOMALMENDARA0;LALMEND;P.E.LOMA DE ALMENDARACHE;12,0;Wonshore wind;EGED;EGREEN
LALOMA;18WLALOMA-1234-J;LALOMA;LA LOMA;16,0;Biomass;ENCEG;RLALOM
LALOMBA;18WLALOMBA-123-W;LALOMBA;18WLALOMBA-123-W;4,9;Wonshore wind;EGLE;ELODOS
LAMESA;18WLAMESA-123--W;LAMESA;LA MESA;9,0;Wonshore wind;BURGE;EBURGE
LAMOR;18W000000000FGFI;LAMOR;LAMOR;7,5;Solar PV;GNRA;FVGNRA
LAMPC01;18W000000000UCUE;LAMPYRIS;LAMPYRIS ENERGIA SL;1,0;Competitive suppliers;LAMPY;LAMPC01
LAMR;18WLAMR-12345-AE;MORCA;LA MORCA;0,6;Hydro UGH;ENDG;EBRACC1
LAMUEL1;18WLAMUEL1-12-EZ;LAMUEL1;P.E. LA MUELA 1;49,5;Wonshore wind;IBGES;EHIBGES
LAMUELA;18W000000000TA0A;LAMUELA;LAMUELA;4,8;Hydro non UGH;DETIC;HYLAMUE
LAMUN;18WLAMUN-12345-W;LAMUN;P.E.LA MUÑECA;40,5;Wonshore wind;GNCO;EGASNE0
LAMURTA;18W000000000N641;LAMURTA;CH LA MURTA;0,9;Hydro non UGH;HC G;HCHI2
LAN1;18WLAN1-12345-A4;LANCARA 1;LANCARA DE LUNA 1;0,3;Hydro UGH;CHDUE;LANCAR
LAN2;18WLAN2-12345-AV;LANCARA 2;LANCARA DE LUNA 2;0,8;Hydro UGH;CHDUE;LANCA2
LANAVA;18W000000000SXO8;LANAVA;PSF LA NAVA;45,0;Solar PV;EGLE;FSONAV
LANAVAE;18WLANAVAEOLICAJ;NAVA;P.E. LA NAVA;27,2;Wonshore wind;HC G;HCGSCSA
LANCES;18WLANCES-123-EU;LANCES;P. E. LOS LANCES;10,6;Wonshore wind;ECYR;EREGPEM
LANCHAL;18WPE-LANCHAL--M;LANCHAL;PE LANCHAL;21,2;Wonshore wind;ECYR;EEGPEM
LANDC01;18W-LANDC01-3--M;LANDS ;LANDS AND BUILDING S.L;1,9;Market direct consumption;LAND;LANDC01
LANDRO;18WLANDRO-1234-O;LANDRO;18WLANDRO-1234-O;8,2;Hydro non UGH;EGLE;HSOLUE
LANTER;18WLANTER-123-EG;LANTER;P.E. LANTERNOSO;24,0;Wonshore wind;HISPE;RWESZN
LAOBC01;18W000000000ONT7;LAOBC01;LAOBC01 UP;0,1;Competitive suppliers;LABOA;LAOBC01
LAOFW;18W000000000O6XD;LAOFW;LAOFW;5,0;Solar PV;GNRA;FVGNRA
LAPAC01;18W000000000QEM3;GALAP ENER;GALAPAGO ENERGIA;0,1;Competitive suppliers;GALAP;LAPAC01
LAPBLA;18W000000000FZQD;LA POBLA;CH LA POBLA;7,5;Hydro non UGH;NEXU;HPOBLA
LAPEF;18W000000000M0SC;LAPEF;LAPEF;2,0;Solar PV;GNRA;LAPEN
LAPENA;18W000000000FGIC;LA PENA;PE LA PEÑA;28,8;Wonshore wind;HC G;HCGSIHA
LAPENA1;18W000000000RT7L;LAPENA1;UF SOLAR LA PENA 1;40,0;Solar PV;NEXU;FLPENA1
LAPENA2;18W000000000RT8J;LAPENA2;UF SOLAR LA PENA2;40,0;Solar PV;NEXU;FLPENA2
LARFW;18W000000000OC5E;LARFW;LARFW;1,4;Solar PV;GNRA;FVGNRA
LARISA;18WLARISA-1234-X;LARISA;P.E. LA RISA;12,0;Wonshore wind;HC G;HCGSIHA
LAROUCO;18WLAROUCO-12-ET;LAROUCO;P. E. LAROUCO;28,9;Wonshore wind;IBGES;EHIBGES
LARRAL;18W000000000RPHD;LARRAL;UF SOLAR LARRAL;40,0;Solar PV;NEXU;FLARRAL
LARRIH;18WLARRIH-123--T;LARRIH;P. E. LARRIBA - HORNILLOS;32,0;Wonshore wind;IBGES;EMCIBGE
LARUYA;18WLARUYA-1234-7;LARUYA;18WLARUYA-1234-7;1,6;Wonshore wind;EGLE;EERUYA
LAS1;18WLAS1-12345-AN;LASPUÑA 1;LASPUÑA 1;7,1;Hydro UGH;ENDG;EBRACC1
LAS2;18WLAS2-12345-AD;LASPUÑA 2;LASPUÑA 2;7,1;Hydro UGH;ENDG;EBRACC1
LASARDA;18W000000000SG5N;LASARDA;PE LAS SARDAS;20,0;Wonshore wind;HC G;HCGSIHA
LASBRIS;18W000000000RT5P;LASBRIS;UF SOLAR LAS BRISAS;2,4;Solar PV;NEXU;FBRISAS
LASE;18W000000000NWPT;LASE;LASE;1,5;Solar PV;GNRA;FVGNRA
LASLANA;18W000000000L9K5;LASLANA;UF LASLANA;6,0;Solar PV;NEXU;FLSOLAN
LASMAJA;18W000000000Q6RH;LASMAJA;PE LAS MAJAS;49,5;Wonshore wind;WMARK;ELASMAJ
LASMINA;18WLASMINA-123-Q;LASMINA;18WLASMINA-123-Q;1,7;Hydro non UGH;EGLE;HCMINE
LASORDA;18WLASORDA-123-5;LASORDA;18WLASORDA-123-5;6,6;Wonshore wind;EGLE;EMTORR
LASOTON;18W000000000T961;LASOTON;CH SOTONERA;4,0;Hydro non UGH;EGLE;HRIEAG
LASP;18WLASP-12345-A5;PORTAS;LAS PORTAS;0,3;Hydro UGH;IBEG;SIL
LASSJ;18W000000000QYA4;LASSJ;LASSJ;2,4;Solar PV;GNRA;FVGNRA
LASTR2;18W000000000NZZ0;LSTRS;LASTRA2;35,0;Solar PV;GESTE;FLASTR2
LASTRA;18WLASTRA-123--A;LASTRA;PARQUE EÓLICO LA LASTRA;11,6;Wonshore wind;EGLE;ELBOGA
LASVAG;18W000000000QBUX;LASVAG;LASVAG;10,0;Solar PV;HISPE;FLASVAG
LASVIN;18WLASVIN-1234-Q;LASVIN;P. E. LAS VIÑAS;48,4;Wonshore wind;IBGES;EHIBGES
LATINF;18W000000000T0G8;UF LATIN;UF LATIN;6,4;Oil products and coal;GEMSL;TLATINF
LATORRE;18WPE-LA-TORRE-A;LATORRE;LATORRE;16,0;Wonshore wind;EGED;EGREEN
LAUCCX1;18W000000000APVG;PORGENC;PORT_GEN_CMPRA;9.999,0;Porfolio;LAUEI;LAUCCX1
LAUCVX1;18W000000000APUI;PORGENV;PORT_GEN_VNTA;9.999,0;Porfolio;LAUEI;LAUCVX1
LAUEC01;18W-LAUEC01-7--1;LAUEC01 CO;LA UNIÓN ELECTRO INDUSTRIAL, S;15,0;Competitive suppliers;LAUEI;LAUEC01
LAURUS;18W000000000QAVY;LAURUS;UF SOLAR LAURUS;2,0;Solar PV;NEXU;FABLITA
LAV1;18WLAV1-12345-AR;LAVIANA 1;LAVIANA 1;0,3;Hydro UGH;HC G;HCHI
LAV2;18WLAV2-12345-AH;LAVIANA 2;LAVIANA 2;0,3;Hydro UGH;HC G;HCHI
LAV3;18WLAV3-12345-A7;LAVIANA 3;LAVIANA 3;0,3;Hydro UGH;HC G;HCHI
LAVAC01;18W000000000NXUG;LA VALL;LA VALL COMERCIALIZADORA ELECT;3,0;Competitive suppliers;LAVAL;LAVAC01
LAVEGA1;18WLAVEGA1-12--B;LAVEGA1;PE LA VEGA I;5,0;Wonshore wind;GNCO;EGASNE1
LAVEGA2;18WLAVEGA2-123-T;LAVEGA2;P.E. LA VEGA II;5,0;Wonshore wind;GNCO;EGASNE1
LAVERNE;18WLAVERNE-123-1;LAVERNE;18WLAVERNE-123-1;1,4;Hydro non UGH;EGLE;HLAVERN
LAVINYA;18W000000000T11Z;LA VINYA;PS LA VINYA;1,9;Solar PV;SOMEN;SENFV1
LAYNA;18WLAYNA-12345-D;LAYNA;ALTO LAYNA;50,0;Wonshore wind;IBGES;EHIBGES
LAZAN;18WLAZAN-12345-F;LAZAN;LAZAN;4,9;Wonshore wind;IBGES;EHIBGES
LAZAR;18WLAZAR-12345-G;LAZAR;P. E. LOMA DE LAZARO;16,0;Wonshore wind;EGED;EGREEN
LBANEZA;18W000000000RU4O;LBANEZA;LA BAÑEZA;12,8;Natural Gas Cogeneration;EGLE;TAZUCAR
LBAT;18WLBAT-12345-A3;BATANEJOS;LOS BATANEJOS;0,6;Hydro UGH;BARER;LBAT
LBTSP;18W000000000RRI5;LBTSP;LBTSP;28,0;Solar PV;GNRA;LOBOH
LCA1;18WLCA1-12345-AC;CANTOS 1;LOS CANTOS 1;2,3;Hydro UGH;EGLE;HHYDRO2
LCA2;18WLCA2-12345-A2;CANTOS 2;LOS CANTOS 2;2,4;Hydro UGH;IBEG;JUCA
LCASTRO;18WLCASTRO-123-M;LCASTRO;UF EL CASTRO F2;1,4;Hydro non UGH;GNRA;HCASTRO
LCOCB;18W000000000SUJR;LCOCB;LCOCB;8,0;Solar PV;GNRA;FVGNRA
LCOSC01;18W000000000JY71;LCOSC01;LOW COST 01;40,0;Competitive suppliers;LCOST;LCOSC01
LDGIC01;18W-LDGIC0184--2;LDGIA;LDGIA;0,1;Competitive suppliers;LDGIA;LDGIC01
LDO1;18WLDO1-12345-AV;DORNAJOS 1;LOS DORNAJOS 1;0,8;Hydro UGH;BARER;BERJUCA
LDO2;18WLDO2-12345-AL;DORNAJOS 2;LOS DORNAJOS 2;0,8;Hydro UGH;BARER;BERJUCA
LDOFW;18W000000000P36Z;LDOFW;LDOFW;1,2;Solar PV;GNRA;FVGNRA
LEB1;18WLEB1-12345-AE;LEBOREIR 1;LEBOREIRO 1;1,1;Hydro UGH;GNFG;UFGC
LEB2;18WLEB2-12345-A4;LEBOREIR 2;LEBOREIRO 2;1,1;Hydro UGH;GNFG;UFGC
LEBAIKO;18W000000000T767;LEBAIKO;UF SOLAR LEA ARTIBAIKO;0,9;Solar PV;NEXU;FLEAIKO
LEBOREI;18WLEBOREI-12-EP;LEBOREI;P.E. LEBOREIRO;21,1;Wonshore wind;ECYR;EEGPEM
LEBRETE;18WLEBRETE-123-1;LEBRETE;UF EL CULEBRETE;1,4;Biogas;GNRA;RCULEBR
LEBRIJA;18WLEBRIJA-12--B;LEBRIJA;PLANTA TERMOSOLAR LEBRIJA;49,9;Solar thermal;NEXU;STSOLUC
LECRIN;18WLECRIN-1234-9;LECRIN;LECRIN;11,3;Wonshore wind;EBLCO;ERIANSA
LEDCC01;18W0000000001V2I;LCE COMPRA;LEDESMA COMERCIALIZADORA UNIDA;0,1;Competitive suppliers;LEDCE;LEDCC01
LEGAC01;18W000000000F4QW;ELEGA UP;ELEGA UNIDAD DE PROGRAMACION;0,0;Competitive suppliers;ELEGA;LEGAC01
LEI1;18WLEI1-12345-AB;LEIZA 1;LEIZA 1;0,5;Hydro UGH;IBEG;EBRA
LEI2;18WLEI2-12345-A1;LEIZA 2;LEIZA 2;0,4;Hydro UGH;IBEG;EBRA
LEIRA;18W000000000T1DB;LEIRA;UF HIDRO LEITA;1,4;Hydro non UGH;NEXU;HLEIRA
LEONC01;18W000000000RXHQ;LECOMUP;ESLECOMUP;0,0;Competitive suppliers;LEONC;LEONC01
LEPFW1;18W000000000S0PV;LEPFW1;LEPFW1;1,2;Solar PV;GNRA;FVGNRA
LEPFW2;18W000000000S0M0;LEPFW2;LEPFW2;2,4;Solar PV;GNRA;FVGNRA
LERC01;18W-LERC01-34--O;LERC01;LERC01;7,0;Competitive suppliers;LER;LERC01
LERIN;18WLERIN-12345-C;LERIN;C.H. LERÍN;1,1;Hydro non UGH;EGED;HFEGED
LESROTE;18WLESROTE-123-K;LESROTE;18WLESROTE-123-K;44,0;Wonshore wind;EBLCO;ELESROT
LEYREN2;18W000000000RY92;LEYREN2;UF SOLAR LEYRENE 2;1,6;Solar PV;NEXU;FLEMAZR
LEYRENE;18W000000000RY76;LEYRENE;UF SOLAR LEYRENE;1,4;Solar PV;NEXU;FLENOEZ
LEZ1;18WLEZ1-12345-A9;LEIZARAN;LEIZARAN;3,5;Hydro UGH;IBEG;EBRA
LFA1;18WLFA1-12345-AD;FAYOS 1;LOS FAYOS 1;0,1;Hydro UGH;IBEG;EBRA
LFA2;18WLFA2-12345-A3;FAYOS 2;LOS FAYOS 2;0,1;Hydro UGH;IBEG;EBRA
LFAESP;18W000000000TSAA;LFAESP;LFAESP;1,0;Competitive suppliers;ENDCO;ENDER01
LFLECHA;18WLFLECHA-123-3;LFLECHA;18WLFLECHA-123-3;0,9;Hydro non UGH;EGLE;HVADOC
LFUE;18WLFUE-12345-AX;FUENROSAR;FUENROSARIO;0,1;Hydro UGH;IBEG;DUER
LG08MC;18W000000000OTAR;LG08MC;LG08MC;1,0;Competitive suppliers;FORTI;FORTR01
LG08VL;18W000000000OTCN;LG08VL;LG08VL;1,0;Competitive suppliers;FORTI;FORTR01
LGA1;18WLGA1-12345-A1;GVILANES 1;LOS GAVILANES 1;0,5;Hydro UGH;ASIE;ASITAJ
LGA2;18WLGA2-12345-AS;GVILANES 2;LOS GAVILANES 2;0,5;Hydro UGH;ASIE;ASITAJ
LGOS;18WLGOS-12345-AL;GOSALVEZ;LA GOSALVEZ;0,7;Hydro UGH;BARER;BERJUCA
LGR1;18WLGR1-123456-0;LGR1;LAS GRAJAS 1;0,2;Hydro UGH;CTNU;JUCAR2
LGR2;18WLGR2-123456-R;LGR2;LAS GRAJAS 2;0,1;Hydro UGH;CTNU;JUCAR2
LGUIJO1;18WLGUIJO1-123-I;LGUIJO1;P.E. EL GUIJO I;38,0;Wonshore wind;EBLCO;ELGUIJ1
LGUIJO2;18WLGUIJO2-123-B;LGUIJO2;P.E. EL GUIJO II;26,0;Wonshore wind;EBLCO;ELGUIJ1
LHID;18WLHID-12345-A3;LA HIDRO;LA HIDRO;0,9;Hydro UGH;ENDG;EBRACC1
LIDEC01;18W000000000KACM;LIDEC01;LIDEC01;0,1;Competitive suppliers;LIDER;LIDEC01
LIDEV01;18W000000000O69O;LIDEV01;LIDEV01;2,8;Solar PV;LIDER;LIDEV01
LILL;18WLILL-12345-AQ;LES ILLES;LES ILLES;0,9;Hydro UGH;ENDG;EBRFEN
LILLA;18W000000000GCTZ;LILLA;LILLA;1,1;Solar PV;GNRA;FVGNRA
LIMSAM;18W000000000P3PY;LIMSAM;UF LIMSAM;3,1;Biogas;NEXU;RRUICES
LIN1;18WLIN1-12345-AJ;LINARES 1;LINARES DEL ARR.I-A;0,9;Hydro UGH;GNFG;UFTA
LIN2;18WLIN2-12345-A9;LINARES 2;LINARES DEL ARR.II-A;0,8;Hydro UGH;GNFG;UFTA
LINAC01;18W000000000T5T4;LINAC01;LINAC01;2.000,0;Market direct consumption;LINAM;LINAC01
LINARES;18WLINARES-123-7;LINARES;18WLINARES-123-7;5,0;Hydro non UGH;EGLE;HLOURG
LINASA;18WLINASA-1234-O;LINASA;LINASA;14,7;Natural Gas Cogeneration;DETIC;COGLINA
LIND01;18W000000000QOAY;LIND01;LIND01;1,0;Competitive suppliers;ENDCO;ENDER01
LINERA;18WLINERA-1234-U;LINERA;LINERA;28,0;Wonshore wind;IBGES;EHIBGES
LINGOT;18W000000000OUL2;LINGOT;LINGOT;1,0;Competitive suppliers;ENDCO;ENDER01
LINKC01;18W000000000QZR4;UPLINKPEN;UP LINK PENINSULA;5,0;Competitive suppliers;LINKE;LINKC01
LIPMES;18W000000000HNCW;LIPMES;LIPMES;1,9;Solar PV;RSPRA;FFRSPRA
LIRIOS;18WLIRIOS-1234-E;LIRIOS;P.E. LOS LIRIOS;48,0;Wonshore wind;IBGES;EHIBGES
LISOLAR;18W000000000TQ3U;LISOLAR;LIRIOS SOLAR;88,0;Solar PV;EGLE;FCASTU
LITTC;18W000000000T03Y;LITTC;LITTC;10,0;Solar PV;GNRA;UPLIT
LIUPC01;18W-LIUPC01-1--N;LIUP;LIGHT UP SL;0,1;Competitive suppliers;LIUP;LIUPC01
LLAD;18WLLAD-12345-A6;LLADRES;LLADRES;0,8;Hydro UGH;ENDG;EBRFEN
LLANO;18WLLANO-12345-J;LLANO;LLANOS DE MOJANA;7,8;Natural Gas Cogeneration;CEG;TCUALIN
LLANO1;18W000000000P87I;LLANO1;FV LLANO1;42,2;Solar PV;CEG;FLLANO1
LLANO2;18W000000000P89E;LLANO2;LLANO2;42,2;Solar PV;CEG;FLLANO2
LLANO3;18W000000000P8AC;LLANO3;LLANO3;40,2;Solar PV;CEG;FLLANO3
LLANOS;18WLLANOS-123-EQ;LLANOS;P.E. LLANOS;33,4;Wonshore wind;GNCO;EGASNE1
LLANOSF;18W000000000U7UT;LOS LLANOS;LOS LLANOS FV;3,2;Solar PV;ELEIA;LLANOSF
LLAPR;18W000000000P8BA;LLAPR;LLAPR;2,1;Solar PV;GNRA;FVGNRA
LLBSP;18W000000000LD9F;LLBSP;LLBSP;1,2;Solar PV;GNRA;FVGNRA
LLBSP1;18W000000000LD8H;LLBSP1;LLBSP1;5,2;Solar PV;GNRA;FVGNRA
LLEI;18WLLEI-12345-AN;LLEIDA;LERIDA;11,8;Hydro UGH;ENDG;EBRFEN
LLERPR;18WLLERPR-1234-U;LLERPR;UNIDAD FISICA LLERPROTEIN;7,7;Natural Gas Cogeneration;AME;TLLERPR
LLICB;18W000000000RX95;LLICB;LLICB;4,0;Solar PV;GNRA;FVGNRA
LLLANOS;18WPE-LOSLLANOSZ;LLLANOS;P.E. LOS LLANOS;38,0;Wonshore wind;ECYR;EEGPES
LLO1;18WLLO1-12345-A9;LOSA 1;LA LOSA 1;0,1;Hydro UGH;BARER;LLO1
LLO2;18WLLO2-12345--L;LOSA 2;LA LOSA 2;0,1;Hydro UGH;BARER;LLO2
LLO3;18WLLO3-12345-AQ;LOSA 3;LA LOSA 3;0,1;Hydro UGH;BARER;LLO3
LLSMART;18WLLSMART-12-E5;LLSMART;P.E. LLANOS DE SAN MARTÍN;14,4;Wonshore wind;HC G;EBRUJUL
LLV1;18WLLV1-12345-A6;LLAVORSI 1;LLAVORSI CARDOS 1;26,0;Hydro UGH;ENDG;EBRFEN
LLV2;18WLLV2-12345-AX;LLAVORSI 2;LLAVORSI CARDOS 2;26,0;Hydro UGH;ENDG;EBRFEN
LMA1;18WLMA1-12345-A3;MANCHEGA;LA MANCHEGA;0,5;Hydro UGH;BARER;LMA1
LMA7AH;18W000000000U8N3;LMA7AH;LMA7AH;60,6;0;REPSB;EREPSOH
LMA7BH;18W000000000U8O1;LMA7BH;LMA7BH;60,6;0;REPSB;EREPSOH
LMA7CH;18W000000000U8QY;LMA7CH;LMA7CH;60,6;0;REPSB;EREPSOH
LMA7D;18W000000000IV9A;LMA7D;LAS MAJAS 7D;49,4;Wonshore wind;REPSB;EREPSOL
LMA7EH;18W000000000U8SU;LMA7EH;LMA7EH;22,3;0;REPSB;EREPSOH
LMARINA;18WLMARINA-123-U;LMARINA;UF LA MARINA;1,9;Biomass;GNRA;RMARINA
LMERC01;18WLMERC01UF---I;LMERC01;LONJAS TECNOLOGÍA, S.A. COMPRA;0,5;Competitive suppliers;LMER;LMERC01
LMI1;18WLMI1-12345-AQ;MILAGROS 1;LA MILAGROSA 1;0,1;Hydro UGH;IBEG;TAJO
LMI2;18WLMI2-12345-AG;MILAGROS 2;LA MILAGROSA 2;0,1;Hydro UGH;IBEG;TAJO
LMI3;18WLMI3-12345-A6;MILAGROS 3;LA MILAGROSA 3;0,6;Hydro UGH;IBEG;TAJO
LMJ1;18W000000000QS9O;LMJ1;LMJ1;92,6;Wonshore wind;REPSB;EARTIG
LMM1;18WLMM1-12345-AJ;MARMOTA 1;LA MARMOTA 1;0,2;Hydro UGH;BARER;LMM1
LMM2;18WLMM2-12345-A9;MARMOTA 2;LA MARMOTA 2;0,2;Hydro UGH;BARER;LMM2
LMONJAS;18WLMONJAS-123-X;LMONJAS;P.E. LAS MONJAS;34,0;Wonshore wind;NEXU;EMONJAS
LMPVB;18W000000000T0AK;LMPVB;LMPVB;38,5;Wonshore wind;GNRA;UPLMP
LMUELAI;18W000000000SPPU;LMUELAI;P.E. LA MUELA I-SANTIUSTE;25,4;Wonshore wind;EGLE;EDENCA
LMURAGE;18W000000000TC04;LMURAGE;UF SOLAR ALMORAUGE;1,0;Solar PV;NEXU;FALMUGE
LNAVARA;18WLNAVARA-123-I;LNAVARA;UF LA MARINA;5,7;Biogas;GNRA;RNAVARA
LNU1;18WLNU1-12345-AU;NUEVOS 1;LOS NUEVOS 1;0,1;Hydro UGH;BARER;LNU1
LNU2;18WLNU2-12345-AK;NUEVOS 2;LOS NUEVOS 2;0,3;Hydro UGH;BARER;LNU2
LNZ1;18WLNZ1-12345-AC;LANUZA 1;LANUZA 1;26,9;Hydro UGH;ENDG;EBRACC1
LNZ2;18WLNZ2-12345-A2;LANUZA 2;LANUZA 2;25,7;Hydro UGH;ENDG;EBRACC1
LOARCOS;18W000000000F5RR;LOS ARCOS;PE LOS ARCOS;34,6;Wonshore wind;ECYR;EEGPES
LOASA;18W000000000TJWU;LOASA;LOASA;1,2;Solar PV;GNRA;FVGNRA
LOAYALA;18WLOAYALA-123-O;LOAYALA;PARQUE EÓLICO LOMA DE AYALA;19,5;Wonshore wind;CEG;EULAYAL
LOBALB;18W000000000OXTE;LOBALB;LOBALB;2,7;Solar PV;GNRA;FVGNRA
LOBOC01;18W-LOBOC01-6--P;EL LOBO;EL LOBO;0,9;Market direct consumption;LOBO;LOBOC01
LOBSC;18W000000000O6NX;LOBSC;LOBSC;3,0;Solar PV;GNRA;FVGNRA
LOBSILL;18W000000000M7YG;LOBSILL;UF SOLAR LOBOSILLO;4,0;Solar PV;NEXU;FLOBSIL
LOCAC01;18W000000000UFOH;UP LOCALUZ;UPLOCALUZ;0,1;Competitive suppliers;LOCAL;LOCAC01
LOCAPON;18WLOCAPON-123-T;LOCAPON;LOMA DEL CAPON;30,0;Wonshore wind;GNCO;EGASNE0
LODALGA;18W000000000TI1L;LODALGA;TRATAMIENTO Y REDUCCION DE  LO;1,4;Natural Gas Cogeneration;EGLE;TINROKO
LOGROSA;18WLOGROSA-123-V;MOJONGORDO;FMOJONGORDO;5,0;Solar PV;GESTE;FLOGROS
LOKSP;18W000000000RRH7;LOKSP;LOKSP;24,1;Solar PV;GNRA;LOKOH
LOLLOC;18W000000000U3MK;SAN LOREC;SAN LORENZO C;28,1;Wonshore wind;RENSP;SLOREC
LOLLOD;18W000000000U3OG;SAN LORED;SAN LORENZO D;33,7;Wonshore wind;RENSP;SLORED
LOMAG;18WLOMAG-12345-G;LOMAG;PARQUE EÓLICO LOMA GORDA;50,0;Wonshore wind;GNCO;EGASNE1
LOMAGOR;18W000000000F5VJ;LOMAGOR;PE LOMA GORDA I;23,9;Wonshore wind;ECYR;EREGPES
LOMAPE;18W000000000ONFZ;LOMAPE;18W000000000ONFZ;28,6;Wonshore wind;EGLE;EPRADA
LOMAS;18WLOMAS-1234-E7;LOMAS;LOMAS;15,0;Wonshore wind;NEXU;EPLOMAS
LOMAV1;18W000000000I976;LOMAVISO1;LOMA VISO 1;2,0;Wonshore wind;WMARK;EFWMARK
LOMAV2;18W000000000I984;LOMAVISO2;LOMA VISO 2;3,0;Wonshore wind;WMARK;EFWMARK
LOMILAS;18WLOMILAS-123-Q;LOMILLAS;PARQUE EÓLICO LAS LOMILLAS;12,0;Wonshore wind;CEG;ELOMILA
LOMILLA;18WLOMILLA-12-E9;LOMILLA;PE LAS LOMILLAS;81,5;0;HC G;HIBSIHA
LOMOLIN;18W000000000N66Y;LOMOLIN;CH LOS M OLINOS;1,2;Hydro non UGH;HC G;HCHI2
LOMOS;18W000000000MGYQ;LOMOS;UF SOLAR LOMOS;2,7;Solar PV;NEXU;FSLOBON
LOMOSII;18W000000000MPIV;LOMOSII;UF SOLAR LOMOSII;2,2;Solar PV;NEXU;FLOMOS2
LOR1;18WLOR1-12345-AE;ORGANOS 1;LOS ORGANOS 1;0,9;Hydro UGH;ENDG;GDLQ
LOR2;18WLOR2-12345-A4;ORGANOS 2;LOS ORGANOS 2;0,9;Hydro UGH;ENDG;GDLQ
LORAI;18WLORAI-12345-H;LORAI;P.E. LA LORA I;49,6;Wonshore wind;EGLE;ELBOGA
LORAII;18WLORAII-1234-8;LORAII;P.E. LA LORA II;49,6;Wonshore wind;EGLE;ELBOGA
LORC;18WLORC-12345-AF;LORCHA;LORCHA;0,6;Hydro UGH;BARER;LORC
LORENZ1;18W000000000RR12;LORENZ1;LORENZO SOLAR;3,6;Solar PV;WMARK;FVLOREN
LORIGUI;18WLORIGUI-12-AR;LORIGUI;LORIGUI;4,5;Hydro non UGH;IBGES;HFIBGES
LOSANII;18W000000000UBCG;LOSANII;LOSAN II;22,9;Natural Gas Cogeneration;EGLE;TCETA
LOSGONZ;18W000000000IG7M;LOSGONZ;PSF LOS GONZALEZ;39,8;Solar PV;EGLE;FNAVID
LOSILLA;18WLOSILLA-12-EH;LOSILLA;LOSILLA;11,9;Wonshore wind;GNCO;EGASNE1
LOSLLNS;18W000000000QQFI;LSLLANOS;LOSLLANOSS;42,3;Solar PV;GNRA;FLLANOS
LOSMANU;18WLOSMANU-123-C;LOSMANU;18WLOSMANU-123-C;2,9;Hydro non UGH;EGLE;HACUAM
LOTZ;18WLOTZ-12345-AM;LOTZABIAN;LOZABIAN;0,1;Hydro UGH;GNRA;HLASJO
LOUREIR;18WLOUREIR-123-2;LOUREIR;18WLOUREIR-123-2;1,5;Hydro non UGH;EGLE;HLOURG
LOVEC01;18W000000000IYO8;LOVEC01;LOVE PENINSULA;0,1;Competitive suppliers;LOVEE;LOVEC01
LOVIC01;18W000000000TF5M;UP LOVILUZ;UP LOVILUZ;0,1;Competitive suppliers;LOVIL;LOVIC01
LPARDAS;18WPELASPARDAS-F;LPARDAS;P.E.LAS PARDAS;49,5;Wonshore wind;ECYR;EREGPEM
LPE1;18WLPE1-12345-AY;PEA 1;LA PEA 1;0,3;Hydro UGH;ASIE;ASIJUCA
LPE2;18WLPE2-12345-AO;PEA 2;LA PEA 2;0,3;Hydro UGH;ASIE;ASIJUCA
LPE3;18WLPE3-12345-AE;PEA 3;LA PEA 3;0,3;Hydro UGH;IBEG;JUCA
LPE4;18WLPE4-12345-A4;PEA 4;LA PEA 4;0,3;Hydro UGH;ASIE;ASIJUCA
LPOIX;18W000000000PZXX;LPOIX;LPOIX;10,0;Solar PV;GNRA;FVPOSA
LPUERTO;18W000000000NKJ3;LMBRERS;PUERTOBRERAS;43,4;Solar PV;GESTE;FBRERAS
